iter	Passed	Remaining
0	1	1276
1	1	798
2	1	633
3	2	563
4	2	515
5	2	481
6	3	464
7	3	464
8	4	453
9	4	438
10	4	420
11	4	411
12	5	403
13	5	393
14	5	388
15	6	382
16	6	377
17	6	372
18	7	369
19	7	367
20	7	365
21	8	366
22	8	366
23	8	362
24	9	359
25	9	356
26	9	354
27	10	351
28	10	351
29	10	353
30	11	352
31	11	349
32	11	347
33	12	344
34	12	342
35	12	340
36	13	338
37	13	336
38	13	334
39	14	336
40	14	340
41	14	337
42	15	335
43	15	335
44	15	334
45	16	332
46	16	331
47	16	329
48	16	328
49	17	326
50	17	326
51	17	325
52	18	326
53	18	326
54	18	324
55	19	327
56	19	327
57	20	327
58	20	327
59	21	329
60	21	327
61	21	327
62	21	325
63	22	324
64	22	324
65	22	322
66	23	321
67	23	320
68	23	318
69	23	317
70	24	316
71	24	315
72	24	314
73	25	313
74	25	313
75	25	313
76	26	312
77	26	311
78	26	311
79	27	311
80	27	310
81	27	311
82	27	308
83	28	307
84	28	308
85	28	307
86	29	306
87	29	305
88	29	305
89	30	305
90	30	306
91	31	306
92	31	307
93	31	307
94	32	307
95	32	307
96	33	307
97	33	308
98	33	307
99	34	306
100	34	305
101	34	304
102	34	304
103	35	303
104	35	302
105	35	302
106	36	301
107	36	301
108	36	300
109	37	300
110	37	300
111	37	300
112	38	299
113	38	299
114	38	298
115	39	298
116	39	296
117	39	296
118	39	295
119	40	295
120	40	294
121	40	293
122	41	292
123	41	292
124	41	291
125	41	290
126	42	289
127	42	289
128	42	289
129	43	289
130	43	288
131	43	288
132	44	288
133	44	287
134	44	287
135	45	287
136	45	286
137	45	286
138	46	286
139	46	286
140	46	285
141	47	284
142	47	284
143	47	283
144	48	283
145	48	282
146	48	282
147	48	281
148	49	281
149	49	280
150	49	280
151	50	280
152	50	280
153	50	279
154	51	280
155	51	280
156	52	280
157	52	279
158	52	279
159	53	278
160	53	277
161	53	276
162	53	276
163	54	276
164	54	275
165	54	275
166	55	275
167	55	274
168	55	274
169	56	274
170	56	274
171	56	273
172	57	274
173	57	273
174	58	273
175	58	273
176	58	272
177	58	272
178	59	271
179	59	271
180	59	270
181	60	270
182	60	270
183	60	270
184	61	270
185	61	270
186	62	269
187	62	269
188	62	268
189	62	268
190	63	268
191	63	267
192	63	267
193	64	267
194	64	267
195	65	266
196	65	266
197	65	265
198	65	265
199	66	265
200	66	264
201	66	264
202	67	263
203	67	263
204	67	262
205	68	262
206	68	261
207	68	261
208	68	260
209	69	260
210	69	260
211	69	260
212	70	260
213	70	259
214	70	258
215	71	258
216	71	258
217	71	258
218	72	257
219	72	257
220	72	257
221	73	257
222	73	256
223	73	256
224	74	255
225	74	255
226	74	255
227	75	254
228	75	254
229	75	254
230	76	253
231	76	253
232	76	253
233	77	252
234	77	252
235	78	252
236	78	252
237	78	251
238	78	251
239	79	250
240	79	250
241	79	249
242	80	249
243	80	249
244	80	248
245	81	248
246	81	248
247	81	247
248	81	247
249	82	246
250	82	246
251	82	245
252	83	245
253	83	245
254	84	245
255	84	245
256	84	245
257	85	244
258	85	244
259	85	244
260	86	244
261	86	244
262	87	244
263	87	243
264	87	243
265	88	243
266	88	242
267	88	242
268	89	241
269	89	241
270	89	241
271	90	241
272	90	241
273	90	240
274	91	240
275	91	239
276	91	239
277	92	239
278	92	238
279	92	238
280	93	238
281	93	238
282	93	237
283	94	237
284	94	236
285	94	236
286	95	236
287	95	236
288	95	236
289	96	235
290	96	235
291	96	234
292	97	234
293	97	233
294	97	233
295	98	233
296	98	233
297	98	233
298	99	233
299	99	232
300	100	232
301	100	232
302	100	231
303	101	231
304	101	230
305	101	230
306	101	230
307	102	229
308	102	229
309	102	229
310	103	228
311	103	228
312	103	227
313	104	227
314	104	227
315	104	226
316	105	226
317	105	226
318	105	225
319	106	225
320	106	225
321	106	224
322	107	224
323	107	224
324	107	223
325	108	223
326	108	223
327	108	223
328	109	222
329	109	222
330	110	222
331	110	222
332	110	222
333	111	221
334	111	221
335	111	220
336	112	220
337	112	220
338	112	219
339	113	219
340	113	219
341	113	218
342	113	218
343	114	218
344	114	217
345	114	217
346	115	216
347	115	216
348	115	216
349	116	215
350	116	215
351	117	215
352	117	214
353	117	214
354	117	214
355	118	214
356	118	213
357	119	213
358	119	213
359	119	213
360	120	212
361	120	212
362	120	212
363	121	211
364	121	211
365	121	211
366	122	210
367	122	210
368	122	210
369	123	209
370	123	209
371	123	209
372	124	209
373	124	208
374	125	208
375	125	208
376	125	207
377	125	207
378	126	207
379	127	207
380	127	206
381	127	206
382	127	206
383	128	205
384	128	205
385	128	204
386	129	204
387	129	204
388	129	204
389	130	203
390	130	203
391	131	203
392	131	202
393	131	202
394	131	202
395	132	201
396	132	201
397	132	200
398	133	200
399	133	200
400	133	199
401	134	199
402	134	199
403	134	198
404	135	198
405	135	197
406	135	197
407	135	197
408	136	196
409	136	196
410	136	196
411	137	195
412	137	195
413	137	195
414	138	194
415	138	194
416	138	194
417	139	193
418	139	193
419	139	193
420	140	192
421	140	192
422	141	192
423	141	192
424	141	191
425	142	191
426	142	191
427	142	191
428	143	190
429	143	190
430	143	190
431	144	189
432	144	189
433	144	188
434	145	188
435	145	188
436	145	187
437	146	187
438	146	187
439	146	187
440	147	186
441	147	186
442	148	186
443	148	186
444	148	185
445	149	185
446	149	185
447	150	184
448	150	184
449	150	184
450	150	183
451	151	183
452	151	182
453	151	182
454	152	182
455	152	181
456	152	181
457	153	181
458	153	180
459	153	180
460	154	180
461	154	179
462	154	179
463	155	179
464	155	178
465	155	178
466	156	178
467	156	178
468	157	177
469	157	177
470	157	177
471	158	176
472	158	176
473	158	176
474	158	175
475	159	175
476	159	174
477	159	174
478	160	174
479	160	173
480	160	173
481	161	173
482	161	172
483	161	172
484	162	172
485	162	171
486	162	171
487	163	171
488	163	170
489	163	170
490	164	170
491	164	169
492	164	169
493	165	169
494	165	168
495	165	168
496	166	168
497	166	167
498	166	167
499	167	167
500	167	167
501	168	166
502	168	166
503	168	166
504	169	165
505	169	165
506	169	165
507	170	164
508	170	164
509	170	163
510	170	163
511	171	163
512	171	162
513	171	162
514	172	162
515	172	161
516	172	161
517	173	161
518	173	160
519	173	160
520	174	160
521	174	159
522	174	159
523	175	158
524	175	158
525	175	158
526	176	157
527	176	157
528	176	157
